author,sex or gender,date of birth,place of birth,country of citizenship,workLabel,relation,date,language,placeLabel
William Shakespeare,male,###############################################################################################################################################################################################################################################################,Stratford-upon-Avon,Kingdom of England,Hamlet,translation_of,2001-05-14,English,London
William Shakespeare,male,###############################################################################################################################################################################################################################################################,Stratford-upon-Avon,Kingdom of England,Romeo and Juliet,edition_or_translation_of,05/1999,English,London
William Shakespeare,male,###############################################################################################################################################################################################################################################################,Stratford-upon-Avon,Kingdom of England,Macbeth,based_on,1997-01-01,French,Paris
Leo Tolstoy,male,###############################################################################################################################################################################################################################################################,Yasnaya Polyana,Russian Empire,War and Peace,based_on,Mar.-10,Russian,Moscow
Leo Tolstoy,male,###############################################################################################################################################################################################################################################################,Yasnaya Polyana,Russian Empire,Anna Karenina,translation_of,2013-04-02,Russian,moskva
Leo Tolstoy,male,###############################################################################################################################################################################################################################################################,Yasnaya Polyana,Russian Empire,The Death of Ivan Ilyich,edition_or_translation_of,2015-12-01,Russian,Saint Petersburg
Gabriel García Márquez,male,1927-03-06,Aracataca,Colombia,One Hundred Years of Solitude,based_on,Apr.-82,Spanish,Bogot√°
Gabriel García Márquez,male,1927-03-06,Aracataca,Colombia,Love in the Time of Cholera,translation_of,1999-01-15,Spanish,bogota
Gabriel García Márquez,male,1927-03-06,Aracataca,Colombia,Chronicle of a Death Foretold,based_on,1997-05-01,Spanish,Buenos Aires
Homer,male,###############################################################################################################################################################################################################################################################,,Ionian League,The Odyssey,edition_or_translation_of,700 BC,Greek,Athens
Homer (greek Poet),,,,,The Iliad,translation_of,750 BC,ŒïŒªŒªŒ∑ŒΩŒπŒ∫Œ¨,athina
Homer,male,###############################################################################################################################################################################################################################################################,,Ionian League,Odyysey,based_on,700BC,Greek,"Athens, Greece"