author,authorLabel,placeOfDeath,placeOfDeathLabel,residence,residenceLabel,work,workLabel,publicationPlace,publicationPlaceLabel,language,languageLabel
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q29581260,Stone Mattress: Nine Tales,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q60387823,Wilderness Tips,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q115131783,The Climate Book,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q29267046,Dancing Girls,,,http://www.wikidata.org/entity/Q44676,Canadian English
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q29264220,Lives of the Poets,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q29266173,Training,,,http://www.wikidata.org/entity/Q44676,Canadian English
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q101191005,MaddAddam Series,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q60387823,Wilderness Tips,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q121995492,Q121995492,http://www.wikidata.org/entity/Q1085,Prague,http://www.wikidata.org/entity/Q9056,cs
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q122080859,Q122080859,http://www.wikidata.org/entity/Q1085,Prague,http://www.wikidata.org/entity/Q9056,cs
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q29266759,Betty,,,http://www.wikidata.org/entity/Q44676,Canadian English
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q122028200,Q122028200,http://www.wikidata.org/entity/Q1085,Prague,http://www.wikidata.org/entity/Q9056,cs
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q60786692,The Testaments,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q29265974,Polarities,,,http://www.wikidata.org/entity/Q44676,Canadian English
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q48724250,My Life as a Bat,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q29265318,The Man from Mars,,,http://www.wikidata.org/entity/Q44676,Canadian English
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q122129714,Q122129714,http://www.wikidata.org/entity/Q1085,Prague,http://www.wikidata.org/entity/Q9056,cs
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q5500877,Freeforall,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7731579,The Edible Woman,,,http://www.wikidata.org/entity/Q1321,es
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7646051,Surfacing,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q6912926,Morning in the Burned House,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7247162,Procedures for Underground,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q6912926,Morning in the Burned House,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7575409,Speeches for Doctor Frankenstein,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7247162,Procedures for Underground,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7647162,Survival: A Thematic Guide to Canadian Literature,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7743645,The Journals of Susanna Moodie,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7745059,The Labrador Fiasco,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7858666,Two-Headed Poems,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7575409,Speeches for Doctor Frankenstein,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7884145,Unearthing Suite,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7647162,Survival: A Thematic Guide to Canadian Literature,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7743645,The Journals of Susanna Moodie,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7858666,Two-Headed Poems,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7884145,Unearthing Suite,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q6470478,Lady Oracle,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q16204596,MaddAddam,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q16209753,Moral Disorder,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q16210105,Power Politics,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q12345731,Bluebeard's Egg,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7731579,The Edible Woman,,,http://www.wikidata.org/entity/Q1321,es
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7156692,Payback: Debt and the Shadow Side of Wealth,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q6987436,Negotiating with the Dead,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q8038547,"Writing with Intent: Essays, Reviews, Personal Prose--1983-2005",,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q21065489,The Heart Goes Last,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q5652676,Happy Endings,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q12345731,Bluebeard's Egg,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q6987436,Negotiating with the Dead,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q8001165,Wilderness Tips,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7730678,The Door,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q8038547,"Writing with Intent: Essays, Reviews, Personal Prose--1983-2005",,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7847527,True Stories,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q21065489,The Heart Goes Last,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q5582448,Good Bones,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7646051,Surfacing,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q6937764,Murder in the Dark,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7293881,Rape Fantasies,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7713834,The Animals in That Country,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q6470478,Lady Oracle,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q8001165,Wilderness Tips,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7723073,The Circle Game,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q5582448,Good Bones,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7760302,The Resplendent Quetzal,,,http://www.wikidata.org/entity/Q44676,Canadian English
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7731579,The Edible Woman,,,http://www.wikidata.org/entity/Q1321,es
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q18154621,Stone Mattress,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7293881,Rape Fantasies,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q16203052,Good Bones and Simple Murders,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q16203812,Interlunar,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7745059,The Labrador Fiasco,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7760302,The Resplendent Quetzal,,,http://www.wikidata.org/entity/Q44676,Canadian English
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q5500877,Freeforall,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q16204596,MaddAddam,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q12345731,Bluebeard's Egg,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q6987436,Negotiating with the Dead,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q16209753,Moral Disorder,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q16210105,Power Politics,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7156692,Payback: Debt and the Shadow Side of Wealth,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q6912926,Morning in the Burned House,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7247162,Procedures for Underground,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7730678,The Door,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q8038547,"Writing with Intent: Essays, Reviews, Personal Prose--1983-2005",,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7847527,True Stories,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7575409,Speeches for Doctor Frankenstein,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7647162,Survival: A Thematic Guide to Canadian Literature,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7730678,The Door,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7745059,The Labrador Fiasco,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q21065489,The Heart Goes Last,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7743645,The Journals of Susanna Moodie,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7847527,True Stories,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7858666,Two-Headed Poems,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7884145,Unearthing Suite,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q16204596,MaddAddam,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q6937764,Murder in the Dark,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7713834,The Animals in That Country,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q5652676,Happy Endings,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q6937764,Murder in the Dark,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7713834,The Animals in That Country,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q16209753,Moral Disorder,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q16210105,Power Politics,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7156692,Payback: Debt and the Shadow Side of Wealth,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7723073,The Circle Game,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q8001165,Wilderness Tips,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7723073,The Circle Game,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q5582448,Good Bones,,,http://www.wikidata.org/entity/Q1860,en
